Label,P0,P1,P2,P3,P4,Initial P0,Initial P1,Initial P2,Initial P3,Goodness of Fit,RSquared
3D_0ROI,74.286,1344.733,10.279,4.157,65900.735,128,1335.134,10.285,4.417,0.960,0.971
3D_1ROI,198.793,1154.360,12.329,4.013,39523.196,128,1141.811,13.246,5.775,0.970,0.978
